"","For.the.Week.Starting","Intercept","s.date.","s.days.","s.U.S..No.2.Diesel.Retail.Prices..Weekly.","Autoregressive_error","Sum.of.Effects"
"35",2014-12-17,2.37245444915643,0.252508926014982,-0.108243497332881,0.105543019397873,2.26346951757938e-07,2.62226312358335
"36",2014-12-24,2.37245444915643,0.253968398922891,-0.118535567204749,0.105543019397873,1.49208912565599e-07,2.61343044948136
"37",2015-01-01,2.37245444915643,0.255636367960503,-0.118535567204749,0.105543019397873,9.835917566417e-08,2.61509836766923
"38",2015-01-08,2.37245444915643,0.257095840868413,-0.140471970706266,0.105543019397873,6.4838804002956e-08,2.59462140355525
"39",2015-01-15,2.37245444915643,0.258555313776323,-0.170451809711101,0.105543019397873,4.27420266197411e-08,2.56610101536155
"40",2015-01-22,2.37245444915643,0.260014786684233,-0.203454682633915,0.105543019397873,2.81757331532421e-08,2.53455760078035
"41",2015-01-29,2.37245444915643,0.261474259592142,-0.234460187889365,0.105543019397873,1.85735680197262e-08,2.50501155883065
"42",2015-02-05,2.37245444915643,0.262933732500052,-0.258447923892111,0.105543019397873,1.22437782579474e-08,2.48248328940602
"43",2015-02-12,2.37245444915643,0.264393205407962,-0.270447897857534,0.105543019397873,8.07115282699444e-09,2.47194278417588
"44",2015-02-19,2.37245444915643,0.265852678315872,-0.268514645044418,0.105543019397873,5.3205396720098e-09,2.47533550714629
"45",2015-02-26,2.37245444915643,0.267312151223782,-0.255390719178816,0.105543019397873,3.50732330414459e-09,2.48991890410659
"46",2015-03-05,2.37245444915643,0.268771624131692,-0.234221944392569,0.105543019397873,2.31204304790927e-09,2.51254715060547
"47",2015-03-12,2.37245444915643,0.270231097039602,-0.208154144817517,0.105543019397873,1.52410901186919e-09,2.54007442230049
"48",2015-03-19,2.37245444915643,0.271690569947512,-0.180333144585501,0.105543019397873,1.00469940737541e-09,2.56935489492101
"49",2015-03-26,2.37245444915643,0.273150042855422,-0.153574192344184,0.105543019397873,6.62302296830154e-10,2.59757331972784
"50",2015-04-02,2.37245444915643,0.274609515763332,-0.126849596737663,0.105543019397873,4.36592605874401e-10,2.62575738801656
"51",2015-04-09,2.37245444915643,0.276068988671242,-0.0966523502787033,0.105543019397873,2.87803778450556e-10,2.65741410723464
"52",2015-04-16,2.37245444915643,0.277528461579152,-0.0594341235445492,0.105543019397873,1.89721524771415e-10,2.69609180677862
